ProfileID_i,_id,daytype,hour,kva_mean,kva_std,kw_mean,kw_std,month,total_hours_sum,valid_hours,valid_obs_ratio
12000770,71,Sunday,22,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,72,Sunday,23,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,73,Weekday,0,0.0,0.0,0.0,0.0,2,20,0,0.0
12000770,74,Weekday,1,0.0,0.0,0.0,0.0,2,20,0,0.0
12000770,75,Weekday,2,0.0,0.0,0.0,0.0,2,20,0,0.0
12000770,76,Weekday,3,0.0,0.0,0.0,0.0,2,20,0,0.0
12000770,77,Weekday,4,0.0,0.0,0.0,0.0,2,20,0,0.0
12000770,78,Weekday,5,0.0,0.0,0.0,0.0,2,20,0,0.0
12000770,79,Weekday,6,0.0,0.0,0.0,0.0,2,20,0,0.0
12000770,80,Weekday,7,0.0,0.0,0.0,0.0,2,20,0,0.0
