ProfileID_i,_id,daytype,hour,kw_mean,kw_std,month,total_hours_sum,valid_hours,valid_obs_ratio
3,58,Sunday,9,0.4028281906970017,0.2319881031510543,1,4,4,1.0
3,59,Sunday,10,0.2037317175142919,0.05741485507420492,1,4,4,1.0
3,60,Sunday,11,0.22730175226542643,0.10151594433157414,1,4,4,1.0
3,61,Sunday,12,0.6161737769438789,0.678535557878466,1,4,4,1.0
3,62,Sunday,13,0.35319291627996363,0.2145977857752611,1,4,4,1.0
3,63,Sunday,14,0.5210647585618225,0.4880046808058476,1,4,4,1.0
3,64,Sunday,15,0.7040609996625562,0.3474251624820909,1,4,4,1.0
3,65,Sunday,16,1.5625996251499936,1.1014225694668178,1,4,4,1.0
3,66,Sunday,17,1.2136064234013404,0.36109927484804,1,4,4,1.0
3,67,Sunday,18,1.6733469135488153,0.993840341042135,1,4,4,1.0
3,68,Sunday,19,2.271760089338403,1.6333753666527868,1,4,4,1.0
3,69,Sunday,20,0.7522753131145676,0.37174178835620714,1,4,4,1.0
3,70,Sunday,21,0.20059798578584537,0.05521237898335987,1,4,4,1.0
3,71,Sunday,22,0.32397123088859725,0.2977969544829563,1,4,4,1.0
3,72,Sunday,23,0.1640363430466778,0.015773595005168974,1,4,4,1.0
60,44414,Sunday,13,,,1,2,,
3,73,Weekday,0,0.31502636625945635,0.2334993167238892,2,20,20,1.0
3,74,Weekday,1,0.2676471458862443,0.16831015762490728,2,20,20,1.0
3,75,Weekday,2,0.20720613792652376,0.1277056839071157,2,20,20,1.0
3,76,Weekday,3,0.18260107007020768,0.05895803910153335,2,20,20,1.0
3,77,Weekday,4,0.2321209660683868,0.2062623665859644,2,20,20,1.0
3,78,Weekday,5,0.22516527517233595,0.1829496544883218,2,20,20,1.0
3,79,Weekday,6,0.32991869427489356,0.24286944881071207,2,20,20,1.0
