ContextID,District,Dom_NonDom,GroupID,Lat,LocName,Location,Long,Municipality,Province,Survey,Year
2,Uthungulu,Domestic LR,1000083,-28.75,Matshana,2009 Matshana,31.85,uMhlathuze,KZN,Eskom LR,2009
2,Uthukela,Domestic LR,1000084,-28.44,Peacetown,2009 Peacetown,29.74,Alfred Duma,KZN,Eskom LR,2009
2,Nkangala,Domestic LR,1000085,-25.33,Vlaklaagte,2009 Vlaklaagte,28.87,Thembisile,MP,Eskom LR,2009
1000003,Sekhukhune,Domestic LR,1000088,-24.416673,Ga-Nkoane,2009b Ga-Nkoane,29.783335,Greater Tubatse/Fetakgomo,LIM,Eskom LR,2009
1000003,Ekurhuleni,Domestic LR,1000089,-26.221098,Wattville,2009b Wattville,28.30327,Ekurhuleni,GP,Eskom LR,2009
1000003,Uthungulu,Domestic LR,1000092,-28.75,Matshana,2009b Matshana,31.85,uMhlathuze,KZN,Eskom LR,2009
1000003,Nkangala,Domestic LR,1000093,-25.33,Vlaklaagte,2009b Vlaklaagte,28.87,Thembisile,MP,Eskom LR,2009
1000004,Uthungulu,Domestic LR,1000095,-28.75,Matshana,2010 Matshana,31.85,uMhlathuze,KZN,Eskom LR,2010
1000004,Bojanala,Domestic LR,1000097,-25.507355,Ga-Luka,2010 Ga-Luka,27.190905,Rustenburg,NW,Eskom LR,2010
1000004,Nkangala,Domestic LR,1000098,-25.33,Vlaklaagte,2010 Vlaklaagte,28.87,Thembisile,MP,Eskom LR,2010
1000004,Ekurhuleni,Domestic LR,1000099,-26.221098,Wattville,2010 Wattville,28.30327,Ekurhuleni,GP,Eskom LR,2010
1000004,Sekhukhune,Domestic LR,1000102,-24.416673,Ga-Nkoane,2010 Ga-Nkoane,29.783335,Greater Tubatse/Fetakgomo,LIM,Eskom LR,2010
1000004,Cacadu,Domestic LR,1000103,-33.824081,Hankey,2010 Hankey,24.871931,Kouga,EC,Eskom LR,2010
1000004,Bojanala,Domestic LR,1000104,-25.507355,Ga-Luka,2011 Ga-Luka,27.190905,Rustenburg,NW,Eskom LR,2011
1000004,Sekhukhune,Domestic LR,1000105,-24.416673,Ga-Nkoane,2011 Ga-Nkoane,29.783335,Greater Tubatse/Fetakgomo,LIM,Eskom LR,2011
1000004,Cacadu,Domestic LR,1000106,-33.824081,Hankey,2011 Hankey,24.871931,Kouga,EC,Eskom LR,2011
1000004,Uthungulu,Domestic LR,1000107,-28.75,Matshana,2011 Matshana,31.85,uMhlathuze,KZN,Eskom LR,2011
1000004,Nkangala,Domestic LR,1000108,-25.33,Vlaklaagte,2011 Vlaklaagte,28.87,Thembisile,MP,Eskom LR,2011
1000004,Ekurhuleni,Domestic LR,1000109,-26.221098,Wattville,2011 Wattville,28.30327,Ekurhuleni,GP,Eskom LR,2011
1000004,Bojanala,Domestic LR,1000111,-25.507355,Ga-Luka,2012 Ga-Luka,27.190905,Rustenburg,NW,Eskom LR,2012
1000004,Sekhukhune,Domestic LR,1000112,-24.416673,Ga-Nkoane,2012 Ga-Nkoane,29.783335,Greater Tubatse/Fetakgomo,LIM,Eskom LR,2012
1000004,Uthungulu,Domestic LR,1000114,-28.75,Matshana,2012 Matshana,31.85,uMhlathuze,KZN,Eskom LR,2012
1000004,Nkangala,Domestic LR,1000115,-25.33,Vlaklaagte,2012 Vlaklaagte,28.87,Thembisile,MP,Eskom LR,2012
1000004,Ekurhuleni,Domestic LR,1000116,-26.221098,Wattville,2012 Wattville,28.30327,Ekurhuleni,GP,Eskom LR,2012
